word,kana,ipa,origin
葬る,ホウムル,hoːmɯɾɯ,和
味覚,ミカク,mikakɯ,漢
模範,モハン,mohaɴ,漢
レントゲン,レントゲン,ɾentoɡeɴ,外
気取る,キドル,kidoɾɯ,混
後遺,コウイ,koːi,漢
セイメイ,セイメイ,seːmeː,固
旅立つ,タビダツ,tabidat͡sɯ,和
当地,トウチ,toːt͡ɕi,漢
生々しい,ナマナマシイ,namanamaɕiː,和
ノートン,ノートン,noːtoɴ,固
剥離,ハクリ,hakɯɾi,漢
ヒガシ,ヒガシ,çiɡaɕi,固
粉末,フンマツ,ɸɯmmat͡sɯ,漢
併合,ヘイゴウ,heːɡoː,漢
母体,ボタイ,botai,漢
用件,ヨウケン,joːkeɴ,漢
由,ヨシ,joɕi,和
労組,ロウソ,ɾoːso,漢
ＭＦ,エムエフ,emɯeɸɯ,記号
紺,コン,koɴ,漢
祭壇,サイダン,saidaɴ,漢
さらさら,サラサラ,saɾasaɾa,和
炊飯,スイハン,sɯihaɴ,漢
スキャン,スキャン,sɯkʲaɴ,外
組成,ソセイ,soseː,漢
トシイエ,トシイエ,toɕiːe,固
ノーベル,ノーベル,noːbeɾɯ,固
メイ,メイ,meː,外
メタル,メタル,metaɾɯ,外
ヨウ,ヨウ,joː,固
呼び名,ヨビナ,jobina,和
読み上げる,ヨミアゲル,jomiaɡeɾɯ,和
和室,ワシツ,ɰaɕit͡sɯ,漢
アサヒカワ,アサヒカワ,asaçikaɰa,固
一揆,イッキ,ikki,漢
歌謡,カヨウ,kajoː,漢
起床,キショウ,kiɕoː,漢
気遣う,キヅカウ,kizɯkaɯ,混
キヨハラ,キヨハラ,kijohaɾa,固
繰り出す,クリダス,kɯɾidasɯ,和
個,コ,ko,漢
劫,コウ,koː,漢
転がす,コロガス,koɾoɡasɯ,和
肴,サカナ,sakana,和
水晶,スイショウ,sɯiɕoː,漢
中火,チュウビ,t͡ɕɯːbi,混
追記,ツイキ,t͡sɯiki,漢
連れ出す,ツレダス,t͡sɯɾedasɯ,和
同棲,ドウセイ,doːseː,漢
晩御飯,バンゴハン,baŋɡohaɴ,漢
物産,ブッサン,bɯssaɴ,漢
本棚,ホンダナ,hondana,混
止む無い,ヤムナイ,jamɯnai,和
用地,ヨウチ,joːt͡ɕi,漢
良く良く,ヨクヨク,jokɯjokɯ,和
露骨,ロコツ,ɾokot͡sɯ,漢
カスガ,カスガ,kasɯɡa,固
狂気,キョウキ,kʲoːki,漢
凍り付く,コオリツク,koːɾit͡sɯkɯ,和
殊更,コトサラ,kotosaɾa,和
産品,サンヒン,saçiɴ,漢
授乳,ジュニュウ,d͡ʑɯɲɯː,漢
常任,ジョウニン,d͡ʑoːɲiɴ,漢
只中,タダナカ,tadanaka,和
ダイナミック,ダイナミック,dainamikkɯ,外
定例,テイレイ,teːɾeː,漢
盗難,トウナン,toːnaɴ,漢
ナハ,ナハ,naha,固
海苔,ノリ,noɾi,和
白鳥,ハクチョウ,hakɯt͡ɕoː,漢
張り切る,ハリキル,haɾikiɾɯ,和
挽き肉,ヒキニク,çikiɲikɯ,混
フィンランド,フィンランド,ɸɯinɾando,固
ベネチア,ベネチア,benet͡ɕia,固
メガヘルツ,メガヘルツ,meɡaheɾɯt͡sɯ,外
来訪,ライホウ,ɾaihoː,漢
連発,レンパツ,ɾempat͡sɯ,漢
解読,カイドク,kaidokɯ,漢
寛容,カンヨウ,kaɰ̃joː,漢
クリントン,クリントン,kɯɾintoɴ,固
健在,ケンザイ,kenzai,漢
差し伸べる,サシノベル,saɕinobeɾɯ,和
招集,ショウシュウ,ɕoːɕɯː,漢
スタンプ,スタンプ,sɯtampɯ,外
染め,ソメ,some,和
堕落,ダラク,daɾakɯ,漢
同化,ドウカ,doːka,漢
バスケット,バスケット,basɯketto,外
ヤン,ヤン,jaɴ,固
レター,レター,ɾetaː,外
アマノ,アマノ,amano,固
根気,コンキ,koŋki,漢
幸,サチ,sat͡ɕi,和
失踪,シッソウ,ɕissoː,漢
進,シン,ɕiɴ,漢
そそる,ソソル,sosoɾɯ,和
背く,ソムク,somɯkɯ,和
憚る,ハバカル,habakaɾɯ,和
阻む,ハバム,habamɯ,和
裕福,ユウフク,jɯːɸɯkɯ,漢
弱火,ヨワビ,joɰabi,和
青褪める,アオザメル,aozameɾɯ,和
小豆,アズキ,azɯki,和
塩化,エンカ,eŋka,漢
空っぽ,カラッポ,kaɾappo,和
キサラヅ,キサラヅ,kisaɾazɯ,固
御殿,ゴテン,ɡoteɴ,漢
サナダ,サナダ,sanada,固
出陣,シュツジン,ɕɯt͡sɯʑiɴ,漢
選別,センベツ,sembet͡sɯ,漢
伝う,ツタウ,t͡sɯtaɯ,和
ツトム,ツトム,t͡sɯtomɯ,固
定,テイ,teː,漢
定時,テイジ,teːʑi,漢
適性,テキセイ,tekiseː,漢
伝導,デンドウ,dendoː,漢
ハルコ,ハルコ,haɾɯko,固
日陰,ヒカゲ,çikaɡe,和
昼休み,ヒルヤスミ,çiɾɯjasɯmi,和
屏風,ビョウブ,bʲoːbɯ,漢
平衡,ヘイコウ,heːkoː,漢
別人,ベツジン,bet͡sɯʑiɴ,漢
枚数,マイスウ,maisɯː,漢
脆い,モロイ,moɾoi,和
優勢,ユウセイ,jɯːseː,漢
読み書き,ヨミカキ,jomikaki,和
裏,リ,ɾi,漢
略す,リャクス,ɾʲakɯsɯ,混
レフ,レフ,ɾeɸɯ,外
ＩＥ,アイイー,aiːi,記号
アセスメント,アセスメント,asesɯmento,外
ウエハラ,ウエハラ,ɯehaɾa,固
鱗,ウロコ,ɯɾoko,和
桶,オケ,oke,和
近鉄,キンテツ,kintet͡sɯ,固
コスモス,コスモス,kosɯmosɯ,外
殺到,サットウ,sattoː,漢
称号,ショウゴウ,ɕoːɡoː,漢
信,シン,ɕiɴ,漢
女史,ジョシ,d͡ʑoɕi,漢
定量,テイリョウ,teːɾʲoː,漢
取り残す,トリノコス,toɾinokosɯ,和
儚い,ハカナイ,hakanai,和
勃発,ボッパツ,boppat͡sɯ,漢
ムービー,ムービー,mɯːbiː,外
揉める,モメル,momeɾɯ,和
山羊,ヤギ,jaɡi,和
逸脱,イツダツ,it͡sɯdat͡sɯ,漢
エンターテインメント,エンターテインメント,entaːteːmmento,外
音量,オンリョウ,onɾʲoː,漢
海中,カイチュウ,kait͡ɕɯː,漢
屈める,カガメル,kaɡameɾɯ,和
河童,カッパ,kappa,和
サイゴウ,サイゴウ,saiɡoː,固
終点,シュウテン,ɕɯːteɴ,漢
楕円,ダエン,daeɴ,漢
途轍,トテツ,totet͡sɯ,漢
バルブ,バルブ,baɾɯbɯ,外
パラメーター,パラメーター,paɾameːtaː,外
ブロードバンド,ブロードバンド,bɯɾoːdobando,外
見合い,ミアイ,miai,和
ミナマタ,ミナマタ,minamata,固
機密,キミツ,kimit͡sɯ,漢
境遇,キョウグウ,kʲoːɡɯː,漢
心得,ココロエ,kokoɾoe,和
火燵,コタツ,kotat͡sɯ,漢
就寝,シュウシン,ɕɯːɕiɴ,漢
女,ジョ,d͡ʑo,漢
水温,スイオン,sɯioɴ,漢
スケート,スケート,sɯkeːto,外
図式,ズシキ,d͡zɯɕiki,漢
ずらり,ズラリ,d͡zɯɾaɾi,和
嫁ぐ,トツグ,tot͡sɯɡɯ,和
パンプス,パンプス,pampɯsɯ,外
跪く,ヒザマズク,çizamazɯkɯ,和
日の丸,ヒノマル,çinomaɾɯ,和
暴動,ボウドウ,boːdoː,漢
メグロ,メグロ,meɡɯɾo,固
儲け,モウケ,moːke,和
明け,アケ,ake,和
一室,イッシツ,iɕɕit͡sɯ,漢
運航,ウンコウ,ɯŋkoː,漢
間伐,カンバツ,kambat͡sɯ,漢
楽譜,ガクフ,ɡakɯɸɯ,漢
競売,キョウバイ,kʲoːbai,漢
くっ付ける,クッツケル,kɯtt͡sɯkeɾɯ,和
山間,サンカン,saŋkaɴ,漢
高台,タカダイ,takadai,混
丼,ドン,doɴ,和
程遠い,ホドトオイ,hodotoːi,和
巡らす,メグラス,meɡɯɾasɯ,和
目茶苦茶,メチャクチャ,met͡ɕakɯt͡ɕa,和
モウリ,モウリ,moːɾi,固
ヨンジュン,ヨンジュン,jond͡ʑɯɴ,固
リサーチ,リサーチ,ɾisaːt͡ɕi,外
漁,リョウ,ɾʲoː,漢
掠める,カスメル,kasɯmeɾɯ,和
川岸,カワギシ,kaɰaɡiɕi,和
供用,キョウヨウ,kʲoːjoː,漢
グレード,グレード,ɡɯɾeːdo,外
光明,コウミョウ,koːmʲoː,漢
催促,サイソク,saisokɯ,漢
シドニー,シドニー,ɕidoɲiː,固
スローガン,スローガン,sɯɾoːɡaɴ,外
膣,チツ,t͡ɕit͡sɯ,漢
直観,チョッカン,t͡ɕokkaɴ,漢
出,デ,de,和
パルス,パルス,paɾɯsɯ,外
身動き,ミウゴキ,miɯɡoki,和
ミチノク,ミチノク,mit͡ɕinokɯ,固
巡り会う,メグリアウ,meɡɯɾiaɯ,和
モニタリング,モニタリング,moɲitaɾiŋɡɯ,外
ラグビー,ラグビー,ɾaɡɯbiː,外
リッチ,リッチ,ɾitt͡ɕi,外
鮎,アユ,ajɯ,和
営み,イトナミ,itonami,和
飢える,ウエル,ɯeɾɯ,和
ＦＷ,エフダブリュー,eɸɯdabɯɾʲɯː,記号
大いなる,オオイナル,oːinaɾɯ,和
外傷,ガイショウ,ɡaiɕoː,漢
強大,キョウダイ,kʲoːdai,漢
ギャンブル,ギャンブル,ɡʲambɯɾɯ,外
凝視,ギョウシ,ɡʲoːɕi,漢
血流,ケツリュウ,ket͡sɯɾʲɯː,漢
シイナ,シイナ,ɕiːna,固
志願,シガン,ɕiɡaɴ,漢
志士,シシ,ɕiɕi,漢
ジュンイチ,ジュンイチ,d͡ʑɯɰ̃it͡ɕi,固
成型,セイケイ,seːkeː,漢
遅延,チエン,t͡ɕieɴ,漢
ツイン,ツイン,t͡sɯiɴ,外
伝票,デンピョウ,dempʲoː,漢
フィット,フィット,ɸɯitto,外
有償,ユウショウ,jɯːɕoː,漢
鯵,アジ,aʑi,和
献金,ケンキン,keŋkiɴ,漢
コウ,コウ,koː,固
磁石,ジシャク,d͡ʑiɕakɯ,漢
スニーカー,スニーカー,sɯɲiːkaː,外
済ます,スマス,sɯmasɯ,和
すんなり,スンナリ,sɯnnaɾi,和
総量,ソウリョウ,soːɾʲoː,漢
ＤＳ,ディーエス,deːiesɯ,記号
洞察,ドウサツ,doːsat͡sɯ,漢
馬鹿げる,バカゲル,bakaɡeɾɯ,混
深々,フカブカ,ɸɯkabɯka,和
振り掛ける,フリカケル,ɸɯɾikakeɾɯ,和
没頭,ボットウ,bottoː,漢
鎧,ヨロイ,joɾoi,和
アイコ,アイコ,aiko,固
一途,イット,itto,漢
王女,オウジョ,oːʑo,漢
大口,オオクチ,oːkɯt͡ɕi,和
翳す,カザス,kazasɯ,和
擬装,ギソウ,ɡisoː,漢
採掘,サイクツ,saikɯt͡sɯ,漢
渋い,シブイ,ɕibɯi,和
人脈,ジンミャク,d͡ʑimmʲakɯ,漢
散らばる,チラバル,t͡ɕiɾabaɾɯ,和
出会す,デクワス,dekɯɰasɯ,和
等級,トウキュウ,toːkʲɯː,漢
飛び交う,トビカウ,tobikaɯ,和
病変,ビョウヘン,bʲoːheɴ,漢
模倣,モホウ,mohoː,漢
容姿,ヨウシ,joːɕi,漢
押し進める,オシススメル,oɕisɯsɯmeɾɯ,和
オープニング,オープニング,oːpɯɲiŋɡɯ,外
カリキュラム,カリキュラム,kaɾikʲɯɾamɯ,外
がんがん,ガンガン,ɡaŋɡaɴ,和
ぐったり,グッタリ,ɡɯttaɾi,和
激減,ゲキゲン,ɡekiɡeɴ,漢
在職,ザイショク,zaiɕokɯ,漢
シジョウ,シジョウ,ɕiʑoː,固
清,シン,ɕiɴ,固
染みる,ジミル,d͡ʑimiɾɯ,和
束縛,ソクバク,sokɯbakɯ,漢
大麻,タイマ,taima,漢
重宝,チョウホウ,t͡ɕoːhoː,漢
必需,ヒツジュ,çit͡sɯʑɯ,漢
ピッチャー,ピッチャー,pitt͡ɕaː,外
膨れ上がる,フクレアガル,ɸɯkɯɾeaɡaɾɯ,和
回り,マワリ,maɰaɾi,和
魅了,ミリョウ,miɾʲoː,漢
料亭,リョウテイ,ɾʲoːteː,漢
イイダ,イイダ,iːda,固
決め手,キメテ,kimete,和
こく,コク,kokɯ,和
コマーシャル,コマーシャル,komaːɕaɾɯ,外
終始,シュウシ,ɕɯːɕi,漢
管財,カンザイ,kanzai,漢
着替え,キガエ,kiɡae,和
聞き出す,キキダス,kikidasɯ,和
捏ねる,コネル,koneɾɯ,和
嗜好,シコウ,ɕikoː,漢
新入,シンニュウ,ɕiɲɯː,漢
次期,ジキ,d͡ʑiki,漢
成就,ジョウジュ,d͡ʑoːʑɯ,漢
変態,ヘンタイ,hentai,漢
ペルー,ペルー,peɾɯː,固
マーチン,マーチン,maːt͡ɕiɴ,固
乱れ,ミダレ,midaɾe,和
優越,ユウエツ,jɯːet͡sɯ,漢
宛て名,アテナ,atena,和
筋力,キンリョク,kinɾʲokɯ,漢
欠席,ケッセキ,kesseki,漢
股間,コカン,kokaɴ,漢
菜,サイ,sai,漢
シー,シー,ɕiː,外
セツコ,セツコ,set͡sɯko,固
背骨,セボネ,sebone,和
調教,チョウキョウ,t͡ɕoːkʲoː,漢
手引き,テビキ,tebiki,和
ディープ,ディープ,deːipɯ,外
出稼ぎ,デカセギ,dekaseɡi,和
閉じ籠もる,トジコモル,toʑikomoɾɯ,和
パンク,パンク,paŋkɯ,外
ファイア,ファイア,ɸɯaia,外
マツオカ,マツオカ,mat͡sɯoka,固
網膜,モウマク,moːmakɯ,漢
夕焼け,ユウヤケ,jɯːjake,和
災い,ワザワイ,ɰazaɰai,和
割り,ワリ,ɰaɾi,和
概観,ガイカン,ɡaikaɴ,漢
キャット,キャット,kʲatto,外
小包み,コヅツミ,kozɯt͡sɯmi,和
傲慢,ゴウマン,ɡoːmaɴ,漢
最古,サイコ,saiko,漢
サスケ,サスケ,sasɯke,固
恣意,シイ,ɕiː,漢
司教,シキョウ,ɕikʲoː,漢
村長,ソンチョウ,sont͡ɕoː,漢
代,ダイ,dai,漢
突起,トッキ,tokki,漢
甚だしい,ハナハダシイ,hanahadaɕiː,和
褒美,ホウビ,hoːbi,漢
未遂,ミスイ,misɯi,漢
モーガン,モーガン,moːɡaɴ,固
エトセトラ,エトセトラ,etosetoɾa,外
クロサワ,クロサワ,kɯɾosaɰa,固
殺菌,サッキン,sakkiɴ,漢
助長,ジョチョウ,d͡ʑot͡ɕoː,漢
先駆,センク,seŋkɯ,漢
村落,ソンラク,sonɾakɯ,漢
容易い,タヤスイ,tajasɯi,和
町人,チョウニン,t͡ɕoːɲiɴ,漢
念願,ネンガン,neŋɡaɴ,漢
ピー,ピー,piː,外
エクスプローラー,エクスプローラー,ekɯsɯpɯɾoːɾaː,外
木霊,コダマ,kodama,和
真意,シンイ,ɕiĩi,漢
潮流,チョウリュウ,t͡ɕoːɾʲɯː,漢
ナース,ナース,naːsɯ,外
剥がれる,ハガレル,haɡaɾeɾɯ,和
万事,バンジ,band͡ʑi,漢
約款,ヤッカン,jakkaɴ,漢
ややこしい,ヤヤコシイ,jajakoɕiː,和
沸かす,ワカス,ɰakasɯ,和
アマゾン,アマゾン,amazoɴ,固
血行,ケッコウ,kekkoː,漢
研,ケン,keɴ,漢
サーカス,サーカス,saːkasɯ,外
始動,シドウ,ɕidoː,漢
シライ,シライ,ɕiɾai,固
神学,シンガク,ɕiŋɡakɯ,漢
信徒,シント,ɕinto,漢
進入,シンニュウ,ɕiɲɯː,漢
宝籤,タカラクジ,takaɾakɯʑi,和
同種,ドウシュ,doːɕɯ,漢
にやにや,ニヤニヤ,ɲijaɲija,和
ノト,ノト,noto,固
補填,ホテン,hoteɴ,漢
マキノ,マキノ,makino,固
身の回り,ミノマワリ,minomaɰaɾi,和
抑止,ヨクシ,jokɯɕi,漢
リアリティー,リアリティー,ɾiaɾiteːi,外
理学,リガク,ɾiɡakɯ,漢
列挙,レッキョ,ɾekkʲo,漢
ＩＢＭ,アイビーエム,aibiːemɯ,固
乖離,カイリ,kaiɾi,漢
覆す,クツガエス,kɯt͡sɯɡaesɯ,和
シャンパン,シャンパン,ɕampaɴ,外
ポートフォリオ,ポートフォリオ,poːtoɸɯoɾio,外
荒らす,アラス,aɾasɯ,和
萎縮,イシュク,iɕɯkɯ,漢
苛立ち,イラダチ,iɾadat͡ɕi,和
王者,オウジャ,oːʑa,漢
帰省,キセイ,kiseː,漢
型式,ケイシキ,keːɕiki,漢
滴,シズク,ɕizɯkɯ,和
次長,ジチョウ,d͡ʑit͡ɕoː,漢
上等,ジョウトウ,d͡ʑoːtoː,漢
通り掛かる,トオリカカル,toːɾikakaɾɯ,和
棘,トゲ,toɡe,和
羽織る,ハオル,haoɾɯ,和
パンダ,パンダ,panda,外
ユニホーム,ユニホーム,jɯɲihoːmɯ,外
横綱,ヨコヅナ,jokozɯna,和
ランニング,ランニング,ɾaɲiŋɡɯ,外
家々,イエイエ,ieːe,和
隠元,インゲン,iŋɡeɴ,漢
遠方,エンポウ,empoː,漢
自ずから,オノズカラ,onozɯkaɾa,和
騎,キ,ki,漢
岸,キシ,kiɕi,和
砕ける,クダケル,kɯdakeɾɯ,和
刑罰,ケイバツ,keːbat͡sɯ,漢
ステンレス,ステンレス,sɯtenɾesɯ,外
セイイチ,セイイチ,seːit͡ɕi,固
増税,ゾウゼイ,zoːzeː,漢
版画,ハンガ,haŋɡa,漢
引っ繰り返る,ヒックリカエル,çikkɯɾikaeɾɯ,和
ペイント,ペイント,peːnto,外
枕元,マクラモト,makɯɾamoto,和
民謡,ミンヨウ,miĩjoː,漢
拠り所,ヨリドコロ,joɾidokoɾo,和
イエミツ,イエミツ,iemit͡sɯ,固
至って,イタッテ,itatte,和
海豚,イルカ,iɾɯka,和
カントリー,カントリー,kantoɾiː,外
外界,ガイカイ,ɡaikai,漢
ケイイチ,ケイイチ,keːit͡ɕi,固
月経,ゲッケイ,ɡekkeː,漢
現職,ゲンショク,ɡeɰ̃ɕokɯ,漢
洒落る,シャレル,ɕaɾeɾɯ,和
住まう,スマウ,sɯmaɯ,和
隅々,スミズミ,sɯmizɯmi,和
立て直す,タテナオス,tatenaosɯ,和
墜落,ツイラク,t͡sɯiɾakɯ,漢
締約,テイヤク,teːjakɯ,漢
配下,ハイカ,haika,漢
刃物,ハモノ,hamono,和
ビジネスマン,ビジネスマン,biʑinesɯmaɴ,外
分娩,ブンベン,bɯmbeɴ,漢
返却,ヘンキャク,heŋkʲakɯ,漢
瞑想,メイソウ,meːsoː,漢
持ち歩く,モチアルク,mot͡ɕiaɾɯkɯ,和
律令,リツリョウ,ɾit͡sɯɾʲoː,漢
麻,アサ,asa,和
朝御飯,アサゴハン,asaɡohaɴ,混
一撃,イチゲキ,it͡ɕiɡeki,漢
イワタ,イワタ,iɰata,固
潤い,ウルオイ,ɯɾɯoi,和
カノウ,カノウ,kanoː,固
工具,コウグ,koːɡɯ,漢
授与,ジュヨ,d͡ʑɯjo,漢
すう,スウ,sɯː,和
大木,タイボク,taibokɯ,漢
任ずる,ニンズル,ɲind͡zɯɾɯ,混
暖簾,ノレン,noɾeɴ,漢
花束,ハナタバ,hanataba,和
分譲,ブンジョウ,bɯnd͡ʑoː,漢
ユウタ,ユウタ,jɯːta,固
昨夜,ユウベ,jɯːbe,和
両目,リョウメ,ɾʲoːme,混
アーサー,アーサー,aːsaː,固
ＨＤ,エイチディー,eːt͡ɕideːi,記号
歓喜,カンキ,kaŋki,漢
官吏,カンリ,kanɾi,漢
軍縮,グンシュク,ɡɯɰ̃ɕɯkɯ,漢
高圧,コウアツ,koːat͡sɯ,漢
スキャンダル,スキャンダル,sɯkʲandaɾɯ,外
青銅,セイドウ,seːdoː,漢
断ずる,ダンズル,dand͡zɯɾɯ,混
テイ,テイ,teː,固
面皰,ニキビ,ɲikibi,和
繁盛,ハンジョウ,hand͡ʑoː,漢
拭き取る,フキトル,ɸɯkitoɾɯ,和
福,フク,ɸɯkɯ,漢
有意,ユウイ,jɯːi,漢
軽視,ケイシ,keːɕi,漢
賛美,サンビ,sambi,漢
主食,シュショク,ɕɯɕokɯ,漢
スプリング,スプリング,sɯpɯɾiŋɡɯ,外
東証,トウショウ,toːɕoː,固
兎角,トカク,tokakɯ,和
取り外す,トリハズス,toɾihazɯsɯ,和
ネール,ネール,neːɾɯ,外
迫害,ハクガイ,hakɯɡai,漢
北上,ホクジョウ,hokɯʑoː,漢
抹茶,マッチャ,matt͡ɕa,漢
胸元,ムナモト,mɯnamoto,和
楽観,ラッカン,ɾakkaɴ,漢
冷房,レイボウ,ɾeːboː,漢
あからさま,アカラサマ,akaɾasama,和
イズミ,イズミ,izɯmi,固
思い浮かぶ,オモイウカブ,omoiɯkabɯ,和
重り,オモリ,omoɾi,和
カズマ,カズマ,kazɯma,固
勾配,コウバイ,koːbai,漢
豪族,ゴウゾク,ɡoːzokɯ,漢
出頭,シュットウ,ɕɯttoː,漢
ショウヘイ,ショウヘイ,ɕoːheː,固
タイ,タイ,tai,外
転載,テンサイ,teɰ̃sai,漢
突進,トッシン,toɕɕiɴ,漢
ニーチェ,ニーチェ,ɲiːt͡ɕie,固
判別,ハンベツ,hambet͡sɯ,漢
広々,ヒロビロ,çiɾobiɾo,和
ＰＫＯ,ピーケーオー,piːkeːoː,記号
椰子,ヤシ,jaɕi,漢
ユカリ,ユカリ,jɯkaɾi,固
アツコ,アツコ,at͡sɯko,固
希少,キショウ,kiɕoː,漢
気紛れ,キマグレ,kimaɡɯɾe,混
区切り,クギリ,kɯɡiɾi,混
径,ケイ,keː,漢
抗癌,コウガン,koːɡaɴ,漢
ごきぶり,ゴキブリ,ɡokibɯɾi,混
妻子,サイシ,saiɕi,漢
シンク,シンク,ɕiŋkɯ,外
匠,タクミ,takɯmi,和
多用,タヨウ,tajoː,漢
伝言,デンゴン,deŋɡoɴ,漢
配属,ハイゾク,haizokɯ,漢
抜粋,バッスイ,bassɯi,漢
ヘルス,ヘルス,heɾɯsɯ,外
マスミ,マスミ,masɯmi,固
掻き混ぜる,カキマゼル,kakimazeɾɯ,和
霞,カスミ,kasɯmi,和
学芸,ガクゲイ,ɡakɯɡeː,漢
原案,ゲンアン,ɡeɰ̃aɴ,漢
奨学,ショウガク,ɕoːɡakɯ,漢
総じて,ソウジテ,soːʑite,混
聳える,ソビエル,sobieɾɯ,和
束ねる,タバネル,tabaneɾɯ,和
馬力,バリキ,baɾiki,漢
ファンタジー,ファンタジー,ɸɯantaʑiː,外
不運,フウン,ɸɯːɴ,漢
踏切,フミキリ,ɸɯmikiɾi,和
閉店,ヘイテン,heːteɴ,漢
町角,マチカド,mat͡ɕikado,和
塗れる,マミレル,mamiɾeɾɯ,和
モンスター,モンスター,moɰ̃sɯtaː,外
ヨナゴ,ヨナゴ,jonaɡo,固
労力,ロウリョク,ɾoːɾʲokɯ,漢
外壁,ガイヘキ,ɡaiheki,漢
下地,シタジ,ɕitaʑi,混
心底,シンソコ,ɕiĩsoko,混
星座,セイザ,seːza,漢
抱き合う,ダキアウ,dakiaɯ,和
汁,ツユ,t͡sɯjɯ,和
投げ込む,ナゲコム,naɡekomɯ,和
ヒーター,ヒーター,çiːtaː,外
フレーズ,フレーズ,ɸɯɾeːzɯ,外
盆地,ボンチ,bont͡ɕi,漢
力士,リキシ,ɾikiɕi,漢
リモコン,リモコン,ɾimokoɴ,外
若布,ワカメ,ɰakame,和
猪,イノシシ,inoɕiɕi,和
裏切り,ウラギリ,ɯɾaɡiɾi,和
過酷,カコク,kakokɯ,漢
キノシタ,キノシタ,kinoɕita,固
きらめく,キラメク,kiɾamekɯ,和
彩色,サイシキ,saiɕiki,漢
サプリメント,サプリメント,sapɯɾimento,外
死因,シイン,ɕiːɴ,漢
シゲオ,シゲオ,ɕiɡeo,固
ＧＷ,ジーダブリュー,d͡ʑiːdabɯɾʲɯː,記号
灯る,トモル,tomoɾɯ,和
塗料,トリョウ,toɾʲoː,漢
早起き,ハヤオキ,hajaoki,和
見落とす,ミオトス,miotosɯ,和
ユリコ,ユリコ,jɯɾiko,固
老朽,ロウキュウ,ɾoːkʲɯː,漢
うざい,ウザイ,ɯzai,和
恐る恐る,オソルオソル,osoɾɯosoɾɯ,和
学識,ガクシキ,ɡakɯɕiki,漢
初歩,ショホ,ɕoho,漢
せっせと,セッセト,sesseto,和
大賞,タイショウ,taiɕoː,漢
探究,タンキュウ,taŋkʲɯː,漢
断然,ダンゼン,danzeɴ,漢
直撃,チョクゲキ,t͡ɕokɯɡeki,漢
躓く,ツマズク,t͡sɯmazɯkɯ,和
眠気,ネムケ,nemɯke,和
暢気,ノンキ,noŋki,漢
×,バツ,bat͡sɯ,記号
片,ヘン,heɴ,漢
防備,ボウビ,boːbi,漢
満期,マンキ,maŋki,漢
ミサ,ミサ,misa,固
休める,ヤスメル,jasɯmeɾɯ,和
ウッド,ウッド,ɯddo,外
攫う,サラウ,saɾaɯ,和
出走,シュッソウ,ɕɯssoː,漢
慈悲,ジヒ,d͡ʑiçi,漢
スコット,スコット,sɯkotto,固
スマップ,スマップ,sɯmappɯ,固
タクボク,タクボク,takɯbokɯ,固
大寺,ダイジ,daiʑi,漢
特約,トクヤク,tokɯjakɯ,漢
二塁,ニルイ,ɲiɾɯi,漢
温もり,ヌクモリ,nɯkɯmoɾi,和
退ける,ノケル,nokeɾɯ,和
パセリ,パセリ,paseɾi,外
肥大,ヒダイ,çidai,漢
フィギュア,フィギュア,ɸɯiɡʲɯa,外
ぶら下げる,ブラサゲル,bɯɾasaɡeɾɯ,和
保温,ホオン,hoːɴ,漢
本塁,ホンルイ,honɾɯi,漢
明後日,ミョウゴニチ,mʲoːɡoɲit͡ɕi,漢
リフト,リフト,ɾiɸɯto,外
絡み合う,カラミアウ,kaɾamiaɯ,和
却下,キャッカ,kʲakka,漢
鯉,コイ,koi,和
コウヘイ,コウヘイ,koːheː,固
速報,ソクホウ,sokɯhoː,漢
朝刊,チョウカン,t͡ɕoːkaɴ,漢
鎮静,チンセイ,t͡ɕiĩseː,漢
ツチヤ,ツチヤ,t͡sɯt͡ɕija,固
フクザワ,フクザワ,ɸɯkɯzaɰa,固
降り注ぐ,フリソソグ,ɸɯɾisosoɡɯ,和
ホームレス,ホームレス,hoːmɯɾesɯ,外
ヤク,ヤク,jakɯ,固
オウガイ,オウガイ,oːɡai,固
オオイ,オオイ,oːi,固
大雑把,オオザッパ,oːzappa,混
カン,カン,kaɴ,固
元本,ガンポン,ɡampoɴ,漢
競走,キョウソウ,kʲoːsoː,漢
酵母,コウボ,koːbo,漢
信条,シンジョウ,ɕind͡ʑoː,漢
大概,タイガイ,taiɡai,漢
野原,ノハラ,nohaɾa,和
ノルウェー,ノルウェー,noɾɯːeː,固
蓮,ハス,hasɯ,和
ばりばり,バリバリ,baɾibaɾi,和
フライト,フライト,ɸɯɾaito,外
裏面,リメン,ɾimeɴ,漢
連覇,レンパ,ɾempa,漢
分け,ワケ,ɰake,和
愛称,アイショウ,aiɕoː,漢
覚え書き,オボエガキ,oboeɡaki,和
掻き立てる,カキタテル,kakitateɾɯ,和
格安,カクヤス,kakɯjasɯ,混
肩凝り,カタコリ,katakoɾi,和
楽章,ガクショウ,ɡakɯɕoː,漢
激励,ゲキレイ,ɡekiɾeː,漢
散布,サンプ,sampɯ,漢
車庫,シャコ,ɕako,漢
ジュンイチロウ,ジュンイチロウ,d͡ʑɯɰ̃it͡ɕiɾoː,固
セッティング,セッティング,setteːŋɡɯ,外
抱き付く,ダキツク,dakit͡sɯkɯ,和
慎む,ツツシム,t͡sɯt͡sɯɕimɯ,和
